ID,texte,titre,categorie,urgence,temps_resolution,type_ticket,nb_mots,text_full
7 162_dup_7,affectation d'une ligne téléphonique pour haitam kerbane,affectation d'une ligne téléphonique pour haitam kerbane,Utilitaires/Request,Moyenne,66.68,Demande,7,affectation d'une ligne téléphonique pour haitam kerbane affectation d'une ligne téléphonique pour haitam kerbane
7 661_dup_13,accès au partage pour omaima najim accès au partage pour omaima najim,accès au partage pour omaima najim,Accès au partage,Moyenne,5.825,Demande,12,accès au partage pour omaima najim accès au partage pour omaima najim accès au partage pour omaima najim
7 200_dup_4,problème d'accès internet,problème d'accès internet,Connexion internet,Moyenne,38.07,Incident,3,problème d'accès internet problème d'accès internet
7 465,demande de de donner accès au dossier partagé cassfsp01 apg_pub fichier ar references ã aya dhissi,demande de de donner accès au dossier partagé cassfsp01 apg_pub fichier ar references ã aya dhissi,Accès au partage,Basse,6.55,Demande,16,demande de de donner accès au dossier partagé cassfsp01 apg_pub fichier ar references ã aya dhissi demande de de donner accès au dossier partagé cassfsp01 apg_pub fichier ar references ã aya dhissi
7 669_dup_2,résolution de l'imprimante zebra résolution de l'imprimante zebra,résolution de l'imprimante zebra,Utilitaires/Incident,Moyenne,5.825,Incident,8,résolution de l'imprimante zebra résolution de l'imprimante zebra résolution de l'imprimante zebra
7 673_dup_5,peut pas accéder ã la boite mail pour salma haidan peut pas accéder ã la boite mail pour salma haidan,peut pas accéder ã la boite mail pour salma haidan,Bureautique/Incident,Moyenne,5.825,Incident,20,peut pas accéder ã la boite mail pour salma haidan peut pas accéder ã la boite mail pour salma haidan peut pas accéder ã la boite mail pour salma haidan
7 336,maphar -- failed caz_cazwtruescan_prd_std_bkp 1 machines 1 failed,maphar -- failed caz_cazwtruescan_prd_std_bkp 1 machines 1 failed,Sauvegarde,Basse,20.68,Incident,8,maphar -- failed caz_cazwtruescan_prd_std_bkp 1 machines 1 failed maphar -- failed caz_cazwtruescan_prd_std_bkp 1 machines 1 failed
6 973_dup_26,probleme de connexion wifi maphoffice off site ainsebaa,probleme de connexion wifi maphoffice off site ainsebaa,Laptop/Request,Haute,13.33,Incident,8,probleme de connexion wifi maphoffice off site ainsebaa probleme de connexion wifi maphoffice off site ainsebaa
7 092,demande de changement de bande description demande de changement de bande nom de l'application matériels band e inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa,demande de changement de bande,Changement de bande,Basse,6.02,Demande,32,demande de changement de bande demande de changement de bande description demande de changement de bande nom de l'application matériels band e inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa
7 210,demande de changement de bande description demande de changement de bande nom de l'application matériels bande inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa,demande de changement de bande,Changement de bande,Basse,34.35,Demande,31,demande de changement de bande demande de changement de bande description demande de changement de bande nom de l'application matériels bande inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa
7 662_dup_6,installation des imprimantes de tous les étages pour omaima najim installation des imprimantes de tous les étages pour omaima najim,installation des imprimantes de tous les étages pour omaima najim,Impressions & Scanner,Moyenne,5.825,Demande,20,installation des imprimantes de tous les étages pour omaima najim installation des imprimantes de tous les étages pour omaima najim installation des imprimantes de tous les étages pour omaima najim
7 647_dup_10,problème d'accès ã hfm_https hfm cdg ma workspace index jsp labazi saad,problème d'accès ã hfm_https hfm cdg ma workspace index jsp labazi saad,Autre,Moyenne,0.58,Incident,12,problème d'accès ã hfm_https hfm cdg ma workspace index jsp labazi saad problème d'accès ã hfm_https hfm cdg ma workspace index jsp labazi saad
7 333_dup_3,problème de téléphonie-coupures réseau,problème de téléphonie-coupures réseau,Applications,Moyenne,23.35,Incident,4,problème de téléphonie-coupures réseau problème de téléphonie-coupures réseau
7 587_dup_6,demande d'activation compte windows ayoub sadkou,demande d'activation compte windows ayoub sadkou,Autre,Moyenne,3.45,Demande,6,demande d'activation compte windows ayoub sadkou demande d'activation compte windows ayoub sadkou
7 083,demande de de créer le projet metformine win cp sur le folder pf 2025 empower,demande de de créer le projet metformine win cp sur le folder pf 2025 empower,Création de projet,Basse,5.825,Demande,15,demande de de créer le projet metformine win cp sur le folder pf 2025 empower demande de de créer le projet metformine win cp sur le folder pf 2025 empower
7 551,problème avec les téléphones fixes,problème avec les téléphones fixes,Applications,Basse,4.07,Incident,5,problème avec les téléphones fixes problème avec les téléphones fixes
7 497,vignettage elonva nouveau lancement,vignettage elonva nouveau lancement,Bureautique,Basse,5.825,Incident,4,vignettage elonva nouveau lancement vignettage elonva nouveau lancement
7 480_dup_38,problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir,problème borne ilaykom prod primaire,Applications,Haute,4.32,Incident,23,problème borne ilaykom prod primaire problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir
7 672_dup_6,problème de okta pour kawtar zraidi problème de okta pour kawtar zraidi,problème de okta pour kawtar zraidi,MDP CFAO,Moyenne,5.825,Incident,12,problème de okta pour kawtar zraidi problème de okta pour kawtar zraidi problème de okta pour kawtar zraidi
6 942,demande de création d'un compte active directory pour m schamel mohamed,demande de création d'un compte active directory pour m schamel mohamed,Applications,Basse,17.57,Demande,11,demande de création d'un compte active directory pour m schamel mohamed demande de création d'un compte active directory pour m schamel mohamed
7 159_dup_35,probleme accès ã ma base documentaire juridique editions francis lefebvre,probleme accès ã ma base documentaire juridique editions francis lefebvre,Applications,Haute,98.92,Incident,10,probleme accès ã ma base documentaire juridique editions francis lefebvre probleme accès ã ma base documentaire juridique editions francis lefebvre
7 181,demande de création d'un compte active directory pour rafiq amina,demande de création d'un compte active directory pour rafiq amina,Applications,Basse,6.72,Demande,10,demande de création d'un compte active directory pour rafiq amina demande de création d'un compte active directory pour rafiq amina
7 312_dup_23,imprimante hors connexion,imprimante hors connexion,Impressions & Scanner/Incident,Haute,39.5,Incident,3,imprimante hors connexion imprimante hors connexion
7 625_dup_6,problèmes techniques sur mon pc ayoub sadkou,problèmes techniques sur mon pc ayoub sadkou,Autre,Moyenne,27.3,Incident,7,problèmes techniques sur mon pc ayoub sadkou problèmes techniques sur mon pc ayoub sadkou
7 159_dup_24,probleme accès ã ma base documentaire juridique editions francis lefebvre,probleme accès ã ma base documentaire juridique editions francis lefebvre,Applications,Haute,98.92,Incident,10,probleme accès ã ma base documentaire juridique editions francis lefebvre probleme accès ã ma base documentaire juridique editions francis lefebvre
7 150,régularisation demande de créer le projet clarithromycine' sur citrix 2025 mp,régularisation demande de créer le projet clarithromycine' sur citrix 2025 mp,Augmentation de taille,Basse,0.03,Demande,11,régularisation demande de créer le projet clarithromycine' sur citrix 2025 mp régularisation demande de créer le projet clarithromycine' sur citrix 2025 mp
7 312_dup_13,imprimante hors connexion,imprimante hors connexion,Impressions & Scanner/Incident,Haute,39.5,Incident,3,imprimante hors connexion imprimante hors connexion
7 596_dup_8,problème suite office excel ali chadli,problème suite office excel ali chadli,Bureautique/Incident,Moyenne,1.18,Incident,6,problème suite office excel ali chadli problème suite office excel ali chadli
7 653_dup_3,installation microsoft office 365 installation de microsoft office 356 via le pc de mohamed eddahar,installation microsoft office 365,Activation office,Moyenne,5.825,Demande,15,installation microsoft office 365 installation microsoft office 365 installation de microsoft office 356 via le pc de mohamed eddahar
7 480_dup_36,problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir,problème borne ilaykom prod primaire,Applications,Haute,4.32,Incident,23,problème borne ilaykom prod primaire problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir
7 322,demande de création d'un compte active directory pour arami fatimzahra,demande de création d'un compte active directory pour arami fatimzahra,Utilitaires/Request,Basse,14.05,Demande,10,demande de création d'un compte active directory pour arami fatimzahra demande de création d'un compte active directory pour arami fatimzahra
7 312_dup_55,imprimante hors connexion,imprimante hors connexion,Impressions & Scanner/Incident,Haute,39.5,Incident,3,imprimante hors connexion imprimante hors connexion
6 923,demande de de créer le projet amodiaquine chlorhydrate _ 2025 sur citrix pour mp,demande de de créer le projet amodiaquine chlorhydrate _ 2025 sur citrix pour mp,Création de projet,Basse,5.825,Demande,14,demande de de créer le projet amodiaquine chlorhydrate _ 2025 sur citrix pour mp demande de de créer le projet amodiaquine chlorhydrate _ 2025 sur citrix pour mp
7 512,téléphone fixe 7811 ne fonctionne plus,téléphone fixe 7811 ne fonctionne plus,Applications,Basse,70.35,Incident,6,téléphone fixe 7811 ne fonctionne plus téléphone fixe 7811 ne fonctionne plus
7 480_dup_47,problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir,problème borne ilaykom prod primaire,Applications,Haute,4.32,Incident,23,problème borne ilaykom prod primaire problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir
7 175,demande de création compte ad pour hajar ahsissen,demande de création compte ad pour hajar ahsissen,Création compte AD,Basse,16.48,Demande,8,demande de création compte ad pour hajar ahsissen demande de création compte ad pour hajar ahsissen
7 390,demande de donner a said chakir un accès en lecture et modification au dossier partagé cassfsp01 credit_management_pub,demande de donner a said chakir un accès en lecture et modification au dossier partagé cassfsp01 credit_management_pub,Accès au partage,Basse,4.23,Demande,17,demande de donner a said chakir un accès en lecture et modification au dossier partagé cassfsp01 credit_management_pub demande de donner a said chakir un accès en lecture et modification au dossier partagé cassfsp01 credit_management_pub
7 428,demande d'activation compte ad_dazzazi,demande d'activation compte ad_dazzazi,Compte AD,Basse,2.17,Demande,4,demande d'activation compte ad_dazzazi demande d'activation compte ad_dazzazi
7 435,demande de donner l'accès au partage cazsfsp02 stagiaire_aqp en modification aux utilisateurs ci-dessous,demande de donner l'accès au partage cazsfsp02 stagiaire_aqp en modification aux utilisateurs ci-dessous,Accès au partage,Basse,1.32,Demande,13,demande de donner l'accès au partage cazsfsp02 stagiaire_aqp en modification aux utilisateurs ci-dessous demande de donner l'accès au partage cazsfsp02 stagiaire_aqp en modification aux utilisateurs ci-dessous
7 534,demande d'accès partage lcq en lecture et écriture,demande d'accès partage lcq en lecture et écriture,Accès au partage,Basse,4.3,Demande,8,demande d'accès partage lcq en lecture et écriture demande d'accès partage lcq en lecture et écriture
7 658_dup_12,installation windows 11 installation office 365 pour omaima najim installation windows 11 installation office 365 pour omaima najim,installation windows 11 installation office 365 pour omaima najim,MAJ system,Moyenne,9.83,Demande,18,installation windows 11 installation office 365 pour omaima najim installation windows 11 installation office 365 pour omaima najim installation windows 11 installation office 365 pour omaima najim
6 955,demande de création du compte pour mr idhammou lahcen,demande de création du compte pour mr idhammou lahcen,Création compte AD,Basse,4.1,Demande,9,demande de création du compte pour mr idhammou lahcen demande de création du compte pour mr idhammou lahcen
6 981,demande de création compte ad pour mm bouazizi oumaima,demande de création compte ad pour mm bouazizi oumaima,Création compte AD,Basse,10.5,Demande,9,demande de création compte ad pour mm bouazizi oumaima demande de création compte ad pour mm bouazizi oumaima
7 616,demande de création ligne téléphonique,demande de création ligne téléphonique,Utilitaires/Request,Basse,12.83,Demande,5,demande de création ligne téléphonique demande de création ligne téléphonique
7 034,demande de créer le partage réseau cassfsp02 crédit_management_pfe,demande de créer le partage réseau cassfsp02 crédit_management_pfe,Accès au partage,Basse,35.63,Demande,8,demande de créer le partage réseau cassfsp02 crédit_management_pfe demande de créer le partage réseau cassfsp02 crédit_management_pfe
7 675_dup_10,compte windows est verrouillé pour amal lamsoundi compte windows est déverrouillé pour amal lamsoundi,compte windows est verrouillé pour amal lamsoundi,Autre,Moyenne,5.825,Incident,14,compte windows est verrouillé pour amal lamsoundi compte windows est verrouillé pour amal lamsoundi compte windows est déverrouillé pour amal lamsoundi
7 583,demande de donner ã chnidir marwane l'accès au partage cazsfsp01 industrielle_pub en modification,demande de donner ã chnidir marwane l'accès au partage cazsfsp01 industrielle_pub en modification,Accès au partage,Basse,3.98,Demande,13,demande de donner ã chnidir marwane l'accès au partage cazsfsp01 industrielle_pub en modification demande de donner ã chnidir marwane l'accès au partage cazsfsp01 industrielle_pub en modification
7 000,demande de rennomer le partage cazsfsp02 gpec par stagiaire rh et donner l'accès ã aboutarik salma en r w,demande de rennomer le partage cazsfsp02 gpec par stagiaire rh et donner l'accès ã aboutarik salma en r w,Accès au partage,Basse,1.78,Demande,19,demande de rennomer le partage cazsfsp02 gpec par stagiaire rh et donner l'accès ã aboutarik salma en r w demande de rennomer le partage cazsfsp02 gpec par stagiaire rh et donner l'accès ã aboutarik salma en r w
7 675_dup_5,compte windows est verrouillé pour amal lamsoundi compte windows est déverrouillé pour amal lamsoundi,compte windows est verrouillé pour amal lamsoundi,Autre,Moyenne,5.825,Incident,14,compte windows est verrouillé pour amal lamsoundi compte windows est verrouillé pour amal lamsoundi compte windows est déverrouillé pour amal lamsoundi
7 263,demande de création d'un compte active directory pour khoubaz nawal,demande de création d'un compte active directory pour khoubaz nawal,Création compte AD,Basse,2.58,Demande,10,demande de création d'un compte active directory pour khoubaz nawal demande de création d'un compte active directory pour khoubaz nawal
7 402,probléme téléphone fixe,probléme téléphone fixe,Applications,Basse,19.33,Incident,3,probléme téléphone fixe probléme téléphone fixe
7 665_dup_6,problème d'accès aux partages mentionnés,problème d'accès aux partages mentionnés,Autre,Moyenne,5.825,Incident,5,problème d'accès aux partages mentionnés problème d'accès aux partages mentionnés
6 973_dup_8,probleme de connexion wifi maphoffice off site ainsebaa,probleme de connexion wifi maphoffice off site ainsebaa,Laptop/Request,Haute,13.33,Incident,8,probleme de connexion wifi maphoffice off site ainsebaa probleme de connexion wifi maphoffice off site ainsebaa
6 973_dup_1,probleme de connexion wifi maphoffice off site ainsebaa,probleme de connexion wifi maphoffice off site ainsebaa,Laptop/Request,Haute,13.33,Incident,8,probleme de connexion wifi maphoffice off site ainsebaa probleme de connexion wifi maphoffice off site ainsebaa
7 392_dup_2,téléphone fixe hors service,téléphone fixe hors service,Applications,Haute,44.27,Incident,4,téléphone fixe hors service téléphone fixe hors service
7 159_dup_22,probleme accès ã ma base documentaire juridique editions francis lefebvre,probleme accès ã ma base documentaire juridique editions francis lefebvre,Applications,Haute,98.92,Incident,10,probleme accès ã ma base documentaire juridique editions francis lefebvre probleme accès ã ma base documentaire juridique editions francis lefebvre
7 636,répertoire partagé trésorerie,répertoire partagé trésorerie,Accès au partage,Basse,0.4,Demande,3,répertoire partagé trésorerie répertoire partagé trésorerie
6 973_dup_10,probleme de connexion wifi maphoffice off site ainsebaa,probleme de connexion wifi maphoffice off site ainsebaa,Laptop/Request,Haute,13.33,Incident,8,probleme de connexion wifi maphoffice off site ainsebaa probleme de connexion wifi maphoffice off site ainsebaa
7 038,demande de créer eludril solution sur citrix 2025,demande de créer eludril solution sur citrix 2025,Création de projet,Basse,5.825,Demande,8,demande de créer eludril solution sur citrix 2025 demande de créer eludril solution sur citrix 2025
7 068,création compte ad_ouzlifane mustapha,création compte ad_ouzlifane mustapha,Compte AD,Basse,9.87,Demande,4,création compte ad_ouzlifane mustapha création compte ad_ouzlifane mustapha
7 363,intervention urgente douchette de tablette en panne gare 4,intervention urgente douchette de tablette en panne gare 4,Impressions & Scanner/Incident,Basse,16.47,Incident,9,intervention urgente douchette de tablette en panne gare 4 intervention urgente douchette de tablette en panne gare 4
7 665_dup_10,problème d'accès aux partages mentionnés,problème d'accès aux partages mentionnés,Autre,Moyenne,5.825,Incident,5,problème d'accès aux partages mentionnés problème d'accès aux partages mentionnés
7 677_dup_2,compte windows est verrouillé pour youssef bahaddi déverrouillage du compte windows pour youssef bahaddi,compte windows est verrouillé pour youssef bahaddi,Autre,Moyenne,5.825,Incident,14,compte windows est verrouillé pour youssef bahaddi compte windows est verrouillé pour youssef bahaddi déverrouillage du compte windows pour youssef bahaddi
7 537,problème d acces partage fp reglementaire mohammed ismaili,problème d acces partage fp reglementaire mohammed ismaili,Accès au partage,Basse,0.57,Incident,8,problème d acces partage fp reglementaire mohammed ismaili problème d acces partage fp reglementaire mohammed ismaili
6 936,régularisation blocage compte sap,régularisation blocage compte sap,accès SAP,Basse,5.825,Incident,4,régularisation blocage compte sap régularisation blocage compte sap
7 292,régularisation demande de deblocage sap,régularisation demande de deblocage sap,MDP SAP,Basse,5.825,Demande,5,régularisation demande de deblocage sap régularisation demande de deblocage sap
7 219,probléme connexion plateforme ilaykom,probléme connexion plateforme ilaykom,Connexion internet,Basse,70.2,Demande,4,probléme connexion plateforme ilaykom probléme connexion plateforme ilaykom
7 663_dup_3,mot de passe cfao réinitialisé pour céline fournier mot de passe cfao réinitialisé pour céline fournier,mot de passe cfao réinitialisé pour céline fournier,MDP CFAO,Moyenne,5.825,Demande,16,mot de passe cfao réinitialisé pour céline fournier mot de passe cfao réinitialisé pour céline fournier mot de passe cfao réinitialisé pour céline fournier
7 677_dup_1,compte windows est verrouillé pour youssef bahaddi déverrouillage du compte windows pour youssef bahaddi,compte windows est verrouillé pour youssef bahaddi,Autre,Moyenne,5.825,Incident,14,compte windows est verrouillé pour youssef bahaddi compte windows est verrouillé pour youssef bahaddi déverrouillage du compte windows pour youssef bahaddi
6 983,demande de création compte ad pour mm maatouq amina,demande de création compte ad pour mm maatouq amina,Création compte AD,Basse,10.47,Demande,9,demande de création compte ad pour mm maatouq amina demande de création compte ad pour mm maatouq amina
7 098,demande de donner ã saji karima l'accès au partage ci-dessous en modification,demande de donner ã saji karima l'accès au partage ci-dessous en modification,Accès au partage,Basse,7.33,Demande,12,demande de donner ã saji karima l'accès au partage ci-dessous en modification demande de donner ã saji karima l'accès au partage ci-dessous en modification
7 304,restauration fichier excel_urgent,restauration fichier excel_urgent,Bureautique,Basse,2.03,Demande,3,restauration fichier excel_urgent restauration fichier excel_urgent
7 159_dup_31,probleme accès ã ma base documentaire juridique editions francis lefebvre,probleme accès ã ma base documentaire juridique editions francis lefebvre,Applications,Haute,98.92,Incident,10,probleme accès ã ma base documentaire juridique editions francis lefebvre probleme accès ã ma base documentaire juridique editions francis lefebvre
7 325,revue périodique du système truscan - mesures de protection de l'audit trail,revue périodique du système truscan - mesures de protection de l'audit trail,Sauvegarde,Basse,34.65,Demande,12,revue périodique du système truscan - mesures de protection de l'audit trail revue périodique du système truscan - mesures de protection de l'audit trail
7 312_dup_42,imprimante hors connexion,imprimante hors connexion,Impressions & Scanner/Incident,Haute,39.5,Incident,3,imprimante hors connexion imprimante hors connexion
6 941,création compte ad hankaoui abdelhak,création compte ad hankaoui abdelhak,Création compte AD,Basse,0.88,Demande,5,création compte ad hankaoui abdelhak création compte ad hankaoui abdelhak
7 224,demande de création compte ad moumine majda,demande de création compte ad moumine majda,Création compte AD,Basse,0.32,Demande,7,demande de création compte ad moumine majda demande de création compte ad moumine majda
7 673_dup_10,peut pas accéder ã la boite mail pour salma haidan peut pas accéder ã la boite mail pour salma haidan,peut pas accéder ã la boite mail pour salma haidan,Bureautique/Incident,Moyenne,5.825,Incident,20,peut pas accéder ã la boite mail pour salma haidan peut pas accéder ã la boite mail pour salma haidan peut pas accéder ã la boite mail pour salma haidan
6 992,problème d'impression,problème d'impression,Impressions & Scanner/Incident,Basse,11.22,Incident,2,problème d'impression problème d'impression
7 392_dup_24,téléphone fixe hors service,téléphone fixe hors service,Applications,Haute,44.27,Incident,4,téléphone fixe hors service téléphone fixe hors service
7 392_dup_3,téléphone fixe hors service,téléphone fixe hors service,Applications,Haute,44.27,Incident,4,téléphone fixe hors service téléphone fixe hors service
7 351,problème d'accès partage compliance pour mme idrissi loubna,problème d'accès partage compliance pour mme idrissi loubna,Accès au partage,Basse,3.55,Incident,8,problème d'accès partage compliance pour mme idrissi loubna problème d'accès partage compliance pour mme idrissi loubna
7 200,problème d'accès internet,problème d'accès internet,Connexion internet,Moyenne,38.07,Incident,3,problème d'accès internet problème d'accès internet
7 265,demande accès partage,demande accès partage,Accès au partage,Basse,0.68,Demande,3,demande accès partage demande accès partage
7 134,demande de création d'un compte active directory pour khammal rim,demande de création d'un compte active directory pour khammal rim,Création compte AD,Basse,1.47,Demande,10,demande de création d'un compte active directory pour khammal rim demande de création d'un compte active directory pour khammal rim
7 184,demande d'augmenter la taille du projet amarel_cp_2025,demande d'augmenter la taille du projet amarel_cp_2025,Augmentation de taille,Basse,5.825,Demande,7,demande d'augmenter la taille du projet amarel_cp_2025 demande d'augmenter la taille du projet amarel_cp_2025
6 950,demande de réinitialisation mot de passe compte cfao,demande de réinitialisation mot de passe compte cfao,MDP CFAO,Basse,1.58,Demande,8,demande de réinitialisation mot de passe compte cfao demande de réinitialisation mot de passe compte cfao
7 159_dup_26,probleme accès ã ma base documentaire juridique editions francis lefebvre,probleme accès ã ma base documentaire juridique editions francis lefebvre,Applications,Haute,98.92,Incident,10,probleme accès ã ma base documentaire juridique editions francis lefebvre probleme accès ã ma base documentaire juridique editions francis lefebvre
7 069,accès au partage r w a amina maatouq au partage cassfsp01 comptabilite_taxes_pub exercice 2025 comptabilité fournisseurs industrielles,accès au partage r w a amina maatouq au partage cassfsp01 comptabilite_taxes_pub exercice 2025 comptabilité fournisseurs industrielles,Partage,Basse,1.38,Demande,17,accès au partage r w a amina maatouq au partage cassfsp01 comptabilite_taxes_pub exercice 2025 comptabilité fournisseurs industrielles accès au partage r w a amina maatouq au partage cassfsp01 comptabilite_taxes_pub exercice 2025 comptabilité fournisseurs industrielles
6 963,demande de création groupe ad,demande de création groupe ad,Compte AD,Basse,15.38,Demande,5,demande de création groupe ad demande de création groupe ad
7 266,demande de la restauration de ce projet saccharose cristallise n 2 qui se trouve dans c users user desktop truscan synchronisation 20250301 dans le poste poste hostname cazwtruescan,demande de la restauration de ce projet saccharose cristallise n 2 qui se trouve dans c users user desktop truscan synchronisation 20250301 dans le poste poste hostname cazwtruescan,Sauvegarde,Basse,15.3,Demande,28,demande de la restauration de ce projet saccharose cristallise n 2 qui se trouve dans c users user desktop truscan synchronisation 20250301 dans le poste poste hostname cazwtruescan demande de la restauration de ce projet saccharose cristallise n 2 qui se trouve dans c users user desktop truscan synchronisation 20250301 dans le poste poste hostname cazwtruescan
7 480_dup_26,problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir,problème borne ilaykom prod primaire,Applications,Haute,4.32,Incident,23,problème borne ilaykom prod primaire problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir
7 673_dup_11,peut pas accéder ã la boite mail pour salma haidan peut pas accéder ã la boite mail pour salma haidan,peut pas accéder ã la boite mail pour salma haidan,Bureautique/Incident,Moyenne,5.825,Incident,20,peut pas accéder ã la boite mail pour salma haidan peut pas accéder ã la boite mail pour salma haidan peut pas accéder ã la boite mail pour salma haidan
7 346,demande de supprimer cette liste des téléphones hors service nom numéro,demande de supprimer cette liste des téléphones hors service nom numéro,Utilitaires/Request,Basse,28.08,Demande,11,demande de supprimer cette liste des téléphones hors service nom numéro demande de supprimer cette liste des téléphones hors service nom numéro
7 668_dup_9,mot de passe cfao réinitialisé pour céline fournier mot de passe cfao réinitialisé pour céline fournier,mot de passe cfao réinitialisé pour céline fournier,MDP CFAO,Moyenne,5.825,Incident,16,mot de passe cfao réinitialisé pour céline fournier mot de passe cfao réinitialisé pour céline fournier mot de passe cfao réinitialisé pour céline fournier
6 943,regule créer le projet le projet zolpidem tartrate sur citrix 2025 pour mp,regule créer le projet le projet zolpidem tartrate sur citrix 2025 pour mp,Autre,Basse,7.8,Demande,13,regule créer le projet le projet zolpidem tartrate sur citrix 2025 pour mp regule créer le projet le projet zolpidem tartrate sur citrix 2025 pour mp
7 682,demande de création compte ad mouden zoubir demande demande de création compte ad mouden zoubir nom de l'application materiel inf supp détaillé téléphone emplacement et numéro de bureau site zenata ou ain sebaa email,demande de création compte ad mouden zoubir,Compte AD,Basse,5.825,Demande,34,demande de création compte ad mouden zoubir demande de création compte ad mouden zoubir demande demande de création compte ad mouden zoubir nom de l'application materiel inf supp détaillé téléphone emplacement et numéro de bureau site zenata ou ain sebaa email
7 670_dup_1,problème boite outlook pour benmoussa deyaa problème boite outlook benmoussa deyaa,problème boite outlook pour benmoussa deyaa,Activation office,Moyenne,5.825,Incident,11,problème boite outlook pour benmoussa deyaa problème boite outlook pour benmoussa deyaa problème boite outlook benmoussa deyaa
7 673_dup_4,peut pas accéder ã la boite mail pour salma haidan peut pas accéder ã la boite mail pour salma haidan,peut pas accéder ã la boite mail pour salma haidan,Bureautique/Incident,Moyenne,5.825,Incident,20,peut pas accéder ã la boite mail pour salma haidan peut pas accéder ã la boite mail pour salma haidan peut pas accéder ã la boite mail pour salma haidan
6 930,demande de créer le projet no_dolfen_susp_2025 sur citrix 2025,demande de créer le projet no_dolfen_susp_2025 sur citrix 2025,Création de projet,Basse,5.825,Demande,9,demande de créer le projet no_dolfen_susp_2025 sur citrix 2025 demande de créer le projet no_dolfen_susp_2025 sur citrix 2025
7 545,acquisition d'une ligne schamel mohamed,acquisition d'une ligne schamel mohamed,Configuration tél,Basse,0.28,Demande,5,acquisition d'une ligne schamel mohamed acquisition d'une ligne schamel mohamed
7 466,problème de blocage laptop,problème de blocage laptop,Système/Incident,Basse,4.62,Incident,4,problème de blocage laptop problème de blocage laptop
7 672_dup_4,problème de okta pour kawtar zraidi problème de okta pour kawtar zraidi,problème de okta pour kawtar zraidi,MDP CFAO,Moyenne,5.825,Incident,12,problème de okta pour kawtar zraidi problème de okta pour kawtar zraidi problème de okta pour kawtar zraidi
7 677_dup_4,compte windows est verrouillé pour youssef bahaddi déverrouillage du compte windows pour youssef bahaddi,compte windows est verrouillé pour youssef bahaddi,Autre,Moyenne,5.825,Incident,14,compte windows est verrouillé pour youssef bahaddi compte windows est verrouillé pour youssef bahaddi déverrouillage du compte windows pour youssef bahaddi
7 665,problème d'accès aux partages mentionnés,problème d'accès aux partages mentionnés,Autre,Moyenne,5.825,Incident,5,problème d'accès aux partages mentionnés problème d'accès aux partages mentionnés
7 672_dup_10,problème de okta pour kawtar zraidi problème de okta pour kawtar zraidi,problème de okta pour kawtar zraidi,MDP CFAO,Moyenne,5.825,Incident,12,problème de okta pour kawtar zraidi problème de okta pour kawtar zraidi problème de okta pour kawtar zraidi
7 415,problème de connexion shimadzu n 1 lcq,problème de connexion shimadzu n 1 lcq,Bureautique/Incident,Basse,10.57,Incident,7,problème de connexion shimadzu n 1 lcq problème de connexion shimadzu n 1 lcq
7 520,demande de restauration de ce fichier svp cassfsp01 reclamation sanofi reclamations_2025 reclamations__2023 reclamations___2024,demande de restauration de ce fichier svp cassfsp01 reclamation sanofi reclamations_2025 reclamations__2023 reclamations___2024,Sauvegarde,Basse,29.77,Demande,13,demande de restauration de ce fichier svp cassfsp01 reclamation sanofi reclamations_2025 reclamations__2023 reclamations___2024 demande de restauration de ce fichier svp cassfsp01 reclamation sanofi reclamations_2025 reclamations__2023 reclamations___2024
7 139,demande accès au partage instructions de fabrication sadik fatimaezzahra,demande accès au partage instructions de fabrication sadik fatimaezzahra,Accès au partage,Basse,4.82,Demande,9,demande accès au partage instructions de fabrication sadik fatimaezzahra demande accès au partage instructions de fabrication sadik fatimaezzahra
7 665_dup_12,problème d'accès aux partages mentionnés,problème d'accès aux partages mentionnés,Autre,Moyenne,5.825,Incident,5,problème d'accès aux partages mentionnés problème d'accès aux partages mentionnés
7 423,sécurité des comptes fx0992,sécurité des comptes fx0992,Compte AD,Basse,6.15,Demande,4,sécurité des comptes fx0992 sécurité des comptes fx0992
